term,frequency
Liquor license,33
Landmarks Committee,9
Landmarks Preservation Commission,7
Uniform Land Use Review Procedure,7
Battery Park City Committee,7
School overcrowding,5
Affordable housing,5
Resolution,5
Sidewalk cafe license,5
Landmarks Preservation Commission,5
Liberty Bonds,4
Hydrofracking,4
Affordable Housing Task Force,4
Lower Manhattan Development Corporation,4
Street Fair Task Force,4
Department of Transportation,3
Lower Manhattan Construction Command Center,3
